[2024-07-30 10:31:02] [class-ss-archive-creation-job.php:83] Starting a job; no job is presently running
[2024-07-30 10:31:04] [class-ss-setup-task.php:150] Adding file /Users/alessandropalermo/Local Sites/piccoli-passi-grandi-sogni/app/public/wp-content/uploads/2024/07/16-agosto-bari-1-768x515.jpg to queue as: http://piccoli-passi-grandi-sogni.local/wp-content/uploads/2024/07/16-agosto-bari-1-768x515.jpg
[2024-07-30 10:31:04] [class-ss-setup-task.php:150] Adding file /Users/alessandropalermo/Local Sites/piccoli-passi-grandi-sogni/app/public/wp-content/uploads/2024/07/casa-gio-6-500x375.jpg to queue as: http://piccoli-passi-grandi-sogni.local/wp-content/uploads/2024/07/casa-gio-6-500x375.jpg
[2024-07-30 10:31:04] [class-ss-setup-task.php:150] Adding file /Users/alessandropalermo/Local Sites/piccoli-passi-grandi-sogni/app/public/wp-content/uploads/2024/07/casa-pinardi-caserta-4-800x1067.jpeg to queue as: http://piccoli-passi-grandi-sogni.local/wp-content/uploads/2024/07/casa-pinardi-caserta-4-800x1067.jpeg
[2024-07-30 10:31:04] [class-ss-setup-task.php:150] Adding file /Users/alessandropalermo/Local Sites/piccoli-passi-grandi-sogni/app/public/wp-content/uploads/2024/07/mamma-matilde-7-500x667.jpg to queue as: http://piccoli-passi-grandi-sogni.local/wp-content/uploads/2024/07/mamma-matilde-7-500x667.jpg
[2024-07-30 10:31:04] [class-ss-setup-task.php:150] Adding file /Users/alessandropalermo/Local Sites/piccoli-passi-grandi-sogni/app/public/wp-content/uploads/2024/07/villa-carosino-3-1280x960.jpg to queue as: http://piccoli-passi-grandi-sogni.local/wp-content/uploads/2024/07/villa-carosino-3-1280x960.jpg
[2024-07-30 10:31:04] [class-ss-setup-task.php:150] Adding file /Users/alessandropalermo/Local Sites/piccoli-passi-grandi-sogni/app/public/wp-content/uploads/2024/07/Autorizzazione-Mamma-Matilde-pdf-212x300.jpg to queue as: http://piccoli-passi-grandi-sogni.local/wp-content/uploads/2024/07/Autorizzazione-Mamma-Matilde-pdf-212x300.jpg
[2024-07-30 10:31:04] [class-ss-setup-task.php:150] Adding file /Users/alessandropalermo/Local Sites/piccoli-passi-grandi-sogni/app/public/wp-content/uploads/2024/07/casa-pinardi-caserta-6-800x600.jpeg to queue as: http://piccoli-passi-grandi-sogni.local/wp-content/uploads/2024/07/casa-pinardi-caserta-6-800x600.jpeg
[2024-07-30 10:31:04] [class-ss-setup-task.php:150] Adding file /Users/alessandropalermo/Local Sites/piccoli-passi-grandi-sogni/app/public/wp-content/uploads/2024/07/villa-carosino-1-768x576.jpg to queue as: http://piccoli-passi-grandi-sogni.local/wp-content/uploads/2024/07/villa-carosino-1-768x576.jpg
[2024-07-30 10:31:04] [class-ss-setup-task.php:150] Adding file /Users/alessandropalermo/Local Sites/piccoli-passi-grandi-sogni/app/public/wp-content/uploads/2024/07/peppino-brancati-1-500x375.jpg to queue as: http://piccoli-passi-grandi-sogni.local/wp-content/uploads/2024/07/peppino-brancati-1-500x375.jpg
[2024-07-30 10:31:04] [class-ss-setup-task.php:150] Adding file /Users/alessandropalermo/Local Sites/piccoli-passi-grandi-sogni/app/public/wp-content/uploads/2024/07/16-agosto-bari-6-300x225.jpeg to queue as: http://piccoli-passi-grandi-sogni.local/wp-content/uploads/2024/07/16-agosto-bari-6-300x225.jpeg
